iter	RMSE
466	2.633174085
467	2.627373761
468	2.619303705
469	2.615021382
470	2.610027862
471	2.608944413
472	2.603534359
473	2.59820674
474	2.596732559
475	2.589732754
476	2.587117565
477	2.580862814
478	2.577140193
479	2.571764974
480	2.56600968
481	2.56497985
482	2.559237171
483	2.55834634
484	2.553179354
485	2.551828809
486	2.546028324
487	2.538636639
488	2.532799091
489	2.525484151
490	2.51844053
491	2.517467394
492	2.510156216
493	2.508270664
494	2.505984023
495	2.500556894
496	2.496873672
497	2.489804398
498	2.484433739
499	2.47913313
500	2.472209851
501	2.471295536
502	2.465143548
503	2.463857019
504	2.458421302
505	2.45372752
506	2.447722841
507	2.446581616
508	2.440155053
509	2.43512193
510	2.433894964
511	2.430574604
512	2.424227924
513	2.423649461
514	2.422431007
515	2.418720776
516	2.413014036
517	2.405728898
518	2.403040499
519	2.399876165
520	2.396514015
521	2.39528273
522	2.389140868
523	2.383352001
524	2.382402201
525	2.377748397
526	2.371387706
527	2.369653098
528	2.366805461
529	2.364992478
530	2.363837174
531	2.359433267
532	2.353385419
533	2.347313357
534	2.340403815
535	2.337652982
536	2.335599956
537	2.32932874
538	2.326211738
539	2.324182
540	2.318795595
541	2.315695403
542	2.311137017
543	2.30905842
544	2.305679571
545	2.303621615
546	2.300848219
547	2.295945651
548	2.289430072
549	2.285498775
550	2.281213842
551	2.280155263
552	2.275910658
553	2.269629981
554	2.264796697
555	2.262394166
556	2.261539925
557	2.255435424
558	2.250272168
559	2.248209988
560	2.243363177
561	2.23776571
562	2.232778463
563	2.22978075
564	2.226240698
565	2.22174828
566	2.220909886
567	2.216478357
568	2.21269509
569	2.207590237
570	2.203305859
571	2.202450071
572	2.197640024
573	2.191835851
574	2.187223974
575	2.186107684
576	2.184504962
577	2.1806621
578	2.179104681
579	2.175561803
580	2.171265544
581	2.164920264
582	2.164147054
583	2.158972412
584	2.157142412
585	2.152916209
586	2.152205551
587	2.149347524
588	2.145579592
589	2.141009354
590	2.135573454
591	2.134543935
592	2.129615
593	2.123685708
594	2.123174115
595	2.122819345
596	2.120478174
597	2.118985437
598	2.115942049
599	2.113439797
600	2.110511805
601	2.104579032
602	2.101542574
603	2.099424909
604	2.096598798
605	2.092864096
606	2.091291432
607	2.086726746
608	2.084511929
609	2.083096452
610	2.077854981
611	2.073703068
612	2.070649638
613	2.066717956
614	2.061758444
615	2.060401866
616	2.056489606
617	2.054376275
618	2.051637864
619	2.047667421
620	2.046022193
621	2.04185077
622	2.036660943
623	2.032420976
624	2.028294072
625	2.025944958
626	2.021669828
627	2.020068908
628	2.018460216
629	2.017008392
630	2.016534581
631	2.014397281
632	2.009852685
633	2.004902039
634	2.000018348
635	1.995484731
636	1.9918552
637	1.98968844
638	1.988058501
639	1.987663967
640	1.985563589
641	1.983989177
642	1.979758576
643	1.977264301
644	1.97215819
645	1.967117895
646	1.966385916
647	1.965379223
648	1.962225723
649	1.959400011
650	1.953651306
651	1.950869605
652	1.946903533
653	1.941702399
654	1.939839153
655	1.939063831
656	1.936370065
657	1.934425304
658	1.933127288
659	1.928418449
660	1.927701204
661	1.925431514
662	1.921818152
663	1.9172932
664	1.913194886
665	1.908581126
666	1.90520503
667	1.903263469
668	1.900546279
669	1.900007355
670	1.899760954
671	1.89594197
672	1.893064611
673	1.890884871
674	1.885585768
675	1.881724703
676	1.880294405
677	1.876238094
678	1.874133789
679	1.872550449
680	1.872046975
681	1.871560543
682	1.870617364
683	1.870212518
684	1.866258023
685	1.865945943
686	1.86321594
687	1.859271433
688	1.857374206
689	1.856334662
690	1.851242914
691	1.849820571
692	1.845329489
693	1.844480594
694	1.841347834
695	1.839845291
696	1.837334071
697	1.836030673
698	1.83257431
699	1.830836667
700	1.827075778
701	1.823277339
702	1.819896129
703	1.815708601
704	1.811375408
705	1.80755392
706	1.803694258
707	1.802290613
708	1.798858144
709	1.797659642
710	1.796207238
711	1.794789338
712	1.794162356
713	1.793417034
714	1.790756733
715	1.7889793
716	1.78579212
717	1.782619645
718	1.77940956
719	1.778054859
720	1.776771763
721	1.773150704
722	1.772636464
723	1.767711514
724	1.766922171
725	1.765732261
726	1.765170034
727	1.763801103
728	1.760360014
729	1.758160012
730	1.753739505
731	1.748834715
732	1.747977522
733	1.744746469
734	1.744527967
735	1.741825271
736	1.741587806
737	1.739870325
738	1.73670835
739	1.731675372
740	1.729719988
741	1.726846275
742	1.724459873
743	1.72413706
744	1.721118694
745	1.719702115
746	1.717474353
747	1.716087516
748	1.714804689
749	1.710805402
750	1.707822244
751	1.706950555
752	1.705412866
753	1.702165234
754	1.698149945
755	1.697620317
756	1.696000068
757	1.693786578
758	1.692601698
759	1.691596032
760	1.688011628
761	1.684566818
762	1.680624107
763	1.677690649
764	1.674415652
765	1.673431637
766	1.672123425
767	1.66929667
768	1.666119563
769	1.663149816
770	1.661084079
771	1.657282045
772	1.655485112
773	1.654238572
774	1.652242928
775	1.649290437
776	1.647479598
777	1.643757091
778	1.641133091
779	1.640040773
780	1.639624741
781	1.636982668
782	1.63589829
783	1.633043676
784	1.632909487
785	1.631933833
786	1.629115045
787	1.624439143
788	1.621022352
789	1.619847696
790	1.61874839
791	1.618265009
792	1.617482823
793	1.616349838
794	1.61342137
795	1.609421528
796	1.608376759
797	1.60725775
798	1.60372098
799	1.599632734
800	1.599474992
801	1.597174186
802	1.595272948
803	1.594296584
804	1.590404209
805	1.589551874
806	1.58866107
807	1.588198985
808	1.587400751
809	1.586915056
810	1.583757011
811	1.582118579
812	1.577737543
813	1.575114094
814	1.571446375
815	1.56830573
816	1.565390958
817	1.562901648
818	1.559004935
819	1.558892623
820	1.555587903
821	1.554763567
822	1.552862241
823	1.551675301
824	1.551252574
825	1.550211902
826	1.549946416
827	1.54840976
828	1.547742054
829	1.546832189
830	1.544806171
831	1.541954116
832	1.539599903
833	1.53629585
834	1.533834845
835	1.530791648
836	1.527967095
837	1.527675682
838	1.527212223
839	1.526920353
840	1.524204636
841	1.521803094
842	1.519823226
843	1.51858533
844	1.515485778
845	1.513167292
846	1.510796219
847	1.509693541
848	1.507059449
849	1.505751253
850	1.501939593
851	1.499986429
852	1.497837017
853	1.49735843
854	1.493613233
855	1.491071887
856	1.488063779
857	1.487964764
858	1.484070366
859	1.483245865
860	1.480486885
861	1.477806064
862	1.476771682
863	1.476457292
864	1.473096177
865	1.470225045
866	1.469554347
867	1.468774384
868	1.467625547
869	1.466025249
870	1.463906419
871	1.461349168
872	1.461254309
873	1.46091067
874	1.458822751
875	1.455634657
876	1.453943653
877	1.450871279
878	1.449154871
879	1.447125215
880	1.446267891
881	1.445388022
882	1.442076033
883	1.439222516
884	1.438225306
885	1.437674085
886	1.435910496
887	1.434325938
888	1.433103096
889	1.432902935
890	1.42928275
891	1.428248712
892	1.42643039
893	1.423584755
894	1.423327624
895	1.422475675
896	1.420664519
897	1.41899459
898	1.416296276
899	1.413427008
900	1.413313757
901	1.410764132
902	1.409753757
903	1.406189134
904	1.403639803
905	1.401100414
906	1.398452232
907	1.395186058
908	1.394001779
909	1.391769799
910	1.390826197
911	1.38939345
912	1.387016375
913	1.385335808
914	1.382655373
915	1.38116012
916	1.380683964
917	1.377814817
918	1.376889756
919	1.376186635
920	1.373788029
921	1.373263032
922	1.371572305
923	1.369191091
924	1.366100343
925	1.363581087
926	1.362059983
927	1.361118966
928	1.361047812
929	1.359129232
930	1.358851401
931	1.355549848
932	1.355102466
933	1.353457412
934	1.351438364
935	1.348290961
936	1.347001022
937	1.346910396
938	1.346514245
939	1.344402599
940	1.343902986
941	1.342223915
942	1.339770263
943	1.338789735
944	1.336230596
945	1.333282747
946	1.332011511
947	1.331426668
948	1.330506974
949	1.328798709
950	1.326890575
951	1.324815969
952	1.323224459
953	1.321433899
954	1.321059622
955	1.319876124
956	1.319319733
957	1.31658319
958	1.314084675
959	1.313248766
960	1.31134184
961	1.308422326
962	1.305879829
963	1.302928018
964	1.302151409
965	1.301652607
966	1.300177484
967	1.297882031
968	1.295859643
969	1.293421842
970	1.292858957
971	1.292080995
972	1.291507784
973	1.290029017
974	1.289591061
975	1.289071172
976	1.288918423
977	1.285476507
978	1.284360154
979	1.280865984
980	1.278604722
981	1.275484565
982	1.273246399
983	1.270617225
984	1.269652589
985	1.268190628
986	1.265959423
987	1.264081937
988	1.262182341
989	1.260699689
990	1.259828716
991	1.258380655
992	1.256006111
993	1.255513009
994	1.254931765
995	1.25296753
996	1.252101029
997	1.250201015
998	1.246854267
999	1.246130023
